user_id,movie_id,rating
807,1411,1
474,659,5
463,268,4
139,286,4
621,751,4
264,137,3
262,219,3
7,300,4
653,393,2
235,198,3
338,189,4
592,307,4
405,1478,1
394,176,5
325,1411,4
74,272,5
727,474,3
457,458,3
880,793,4
573,492,4
178,11,5
405,994,1
299,474,5
919,815,2
218,1073,5
15,111,4
749,238,3
610,275,4
343,135,5
478,137,4
870,1267,2
938,151,4
2,300,4
932,514,5
191,332,2
680,25,4
689,151,3
767,187,4
262,278,3
241,310,4
363,370,3
692,476,3
6,498,4
215,134,4
58,50,4
580,222,3
181,1296,1
454,492,3
643,674,3
693,218,4
838,72,4
99,409,2
488,200,2
7,268,3
697,1067,5
772,315,5
42,409,3
561,217,3
247,1022,4
108,471,2
487,282,4
568,494,4
178,1016,4
308,193,3
397,178,5
158,510,3
806,47,4
712,232,3
693,210,3
610,606,5
604,443,3
470,221,4
584,114,4
312,1172,5
820,264,3
455,508,4
316,323,1
868,726,2
152,944,4
450,612,4
809,333,3
320,233,4
896,225,1
379,621,4
486,883,3
561,234,3
235,483,5
393,154,2
637,408,5
254,15,3
869,282,3
427,680,5
264,1009,4
918,433,2
158,229,3
766,435,3
287,941,3
917,248,4
276,943,4
387,52,5
450,616,4
268,151,3
357,841,3
334,347,3
425,27,3
845,896,3
943,318,3
554,276,3
293,507,4
292,56,5
608,655,5
254,649,1
881,521,4
406,482,5
691,79,5
60,207,3
881,88,3
332,684,5
568,1203,5
70,161,3
7,391,3
487,820,3
632,679,4
916,195,3
886,1217,4
664,732,3
234,40,2
144,194,5
933,168,3
606,138,3
560,321,3
303,514,5
314,1152,4
500,133,3
433,474,3
634,274,3
825,508,4
407,519,4
897,465,5
716,95,4
524,520,3
36,873,3
720,872,3
536,195,4
452,603,4
21,551,3
324,273,5
381,225,3
650,72,2
181,146,1
38,400,1
689,471,4
169,483,3
91,616,4
1,83,3
160,640,3
299,1141,4
357,473,3
206,332,3
802,196,3
640,214,5
160,135,4
588,208,3
177,1110,3
42,451,2
201,656,4
815,65,5
59,125,3
849,406,4
716,180,3
314,763,5
222,732,4
145,106,4
868,662,2
425,318,2
370,435,3
554,1012,3
6,531,4
94,186,4
567,504,4
285,151,5
450,1249,3
109,755,5
63,306,3
641,64,4
702,300,3
279,80,4
829,192,5
239,288,2
617,635,4
916,421,5
642,204,4
405,969,3
896,28,2
621,1185,3
59,196,5
87,732,4
864,232,4
382,1381,3
664,203,4
340,502,2
185,321,5
43,781,3
276,289,2
362,264,1
109,395,3
624,597,3
254,21,3
619,300,5
429,248,5
29,189,4
622,588,4
105,307,2
121,292,4
40,337,4
655,872,3
889,94,4
659,86,5
881,172,4
346,1110,1
425,679,3
210,208,5
429,80,3
200,951,5
38,758,1
894,318,5
655,1100,3
897,56,2
59,755,4
704,603,5
612,127,2
213,127,5
721,471,5
488,222,4
938,276,3
344,597,2
723,988,1
116,294,2
345,365,2
314,501,4
718,546,4
345,534,4
95,432,3
659,942,3
863,754,3
252,410,5
5,42,5
390,258,5
314,710,3
592,344,4
871,182,5
853,288,4
327,708,4
96,216,4
10,705,4
711,254,2
828,1005,3
416,846,3
737,58,4
291,741,5
70,173,4
527,213,4
400,323,4
758,93,5
825,844,2
646,908,3
807,102,4
589,304,5
221,76,4
532,1199,3
257,1260,2
535,382,5
313,604,4
786,322,3
271,411,1
13,121,5
646,349,2
537,184,3
224,689,3
747,939,3
504,499,4
591,86,5
943,201,5
94,475,5
892,184,4
823,433,4
846,492,3
638,50,4
320,241,4
823,426,4
871,1386,3
533,258,4
8,687,1
286,56,2
21,595,3
717,628,5
164,248,4
455,939,4
331,933,3
536,449,4
535,480,4
188,591,5
908,494,3
796,736,3
724,286,1
87,1183,3
59,290,3
936,274,3
296,134,5
622,755,4
666,650,5
682,184,4
223,257,4
692,127,3
161,286,2
774,659,3
121,300,3
716,514,5
463,243,1
568,486,4
99,1,4
472,143,4
727,411,3
889,1067,3
186,98,5
397,156,5
452,419,4
916,971,4
922,568,3
896,141,3
422,287,3
521,684,3
716,559,2
601,107,4
160,4,4
60,71,3
537,404,3
270,217,5
778,238,3
774,189,2
297,156,4
868,154,3
13,158,1
321,511,4
474,616,4
496,432,4
690,202,2
13,11,1
292,523,4
806,511,5
682,566,3
171,270,4
552,13,3
788,62,3
533,96,4
805,100,5
529,333,4
763,737,2
24,358,3
144,699,4
68,258,5
730,742,3
632,156,3
561,1524,4
766,447,3
10,234,4
343,154,5
284,906,3
894,340,4
70,63,3
151,707,4
763,135,5
589,313,5
488,880,3
320,869,4
503,137,5
874,20,3
645,654,5
828,52,3
918,168,3
271,31,4
451,333,5
99,310,3
365,150,5
451,879,4
650,419,4
14,32,5
833,201,4
21,327,3
698,121,2
883,945,4
323,993,4
798,769,2
690,357,5
178,318,5
181,696,2
712,738,4
822,1091,1
823,233,4
724,906,1
184,511,4
325,485,3
305,86,4
306,258,2
274,713,5
796,204,5
18,969,3
715,182,5
897,526,5
94,328,3
457,393,3
766,503,3
234,279,3
295,79,4
500,762,4
819,321,4
707,1024,5
465,7,5
268,172,5
286,212,1
716,601,4
299,418,4
286,89,4
835,486,4
577,1044,4
13,635,1
514,64,4
601,763,5
542,192,5
312,921,5
262,1135,3
457,227,4
194,222,1
589,294,5
557,1176,5
865,408,5
846,770,5
495,1039,5
499,886,4
548,358,2
788,56,3
275,679,3
774,758,1
405,1519,2
324,332,3
353,286,5
896,82,3
354,52,5
810,678,4
479,609,5
285,100,4
19,692,3
461,258,4
504,98,5
721,380,5
899,202,4
297,117,4
497,431,4
693,211,2
880,87,4
388,184,4
886,49,4
528,69,3
524,748,2
150,50,5
471,969,2
198,498,3
666,427,4
102,234,3
763,212,4
939,1054,4
70,48,4
450,1053,3
380,228,3
577,447,3
373,699,4
655,117,2
484,926,4
545,419,3
693,191,2
193,1407,3
520,1028,1
398,162,5
18,236,3
290,98,4
506,676,1
178,135,2
763,174,4
184,381,4
299,165,4
352,89,5
875,294,2
326,611,3
886,58,4
479,408,5
374,148,4
892,222,4
744,1134,3
567,209,4
823,459,4
285,346,4
101,255,4
459,16,2
458,83,4
458,152,5
354,61,5
645,198,3
216,47,4
347,276,3
385,201,4
908,98,5
826,399,4
303,181,5
416,332,4
374,978,2
493,186,5
388,682,4
371,449,3
734,97,4
410,323,3
577,215,5
117,977,3
574,300,4
7,214,5
453,1170,3
352,568,5
293,501,4
280,1114,4
868,179,4
417,132,4
854,855,4
313,154,2
393,29,4
110,376,2
399,22,3
6,200,3
244,62,2
457,197,5
458,939,4
664,770,4
921,659,5
625,212,3
661,189,4
23,1,5
878,82,3
693,230,2
788,518,3
846,470,5
907,1057,3
456,56,5
234,1453,2
538,566,3
588,184,4
406,432,5
877,566,4
80,205,5
854,294,2
593,468,3
843,485,2
552,15,3
786,203,4
655,1375,3
141,126,5
8,301,4
653,654,2
144,297,4
470,471,5
417,923,3
